Id,SalePrice
1461,124633.82138142655
1462,160937.2784886874
1463,185563.25425406382
1464,197802.2172588153
1465,193001.52437814447
1466,174064.2971275656
1467,175626.95028287536
1468,165457.04700459144
1469,181856.5809605507
1470,123920.93027765863
1471,195758.61686250495
1472,94071.58045951124
1473,96834.82598108656
1474,148453.61395883764
1475,115506.67713062698
1476,389110.41287065373
1477,252450.1070609517
1478,280862.4731541284
1479,273888.6092052646
1480,483372.0970084474
1481,331574.9147692543
1482,206361.54577942574
1483,172769.85418842966
1484,162778.94204057156
1485,182335.88138552415
1486,197303.91025122808
1487,343945.4750787512
1488,234767.92212663806
1489,201535.331806206
1490,232387.57963098297
1491,193356.30306263422
1492,93289.08853391389
1493,179174.30714051134
1494,297039.40850808227
1495,287738.86365388357
1496,240483.47414323105
1497,184925.66158024516
1498,163540.74826937448
1499,160900.46872678146
1500,156113.1953239045
1501,175903.60543474287
1502,142932.78565297974
1503,297745.82015864964
1504,238394.59921698028
1505,228614.75451176596
1506,181460.86539931243
1507,248445.59462877075
1508,201164.69560727302
1509,155374.24027906233
1510,145377.13021661545
1511,147607.24639615687
1512,173795.173988164
1513,146020.394382511
1514,159074.0142429907
1515,197626.31807080435
1516,148826.51553384596
1517,162252.99237515643
1518,131519.38404723455
1519,220987.1474561377
1520,133910.44037722013
1521,136257.73167643303
1522,173115.44424302745
1523,113043.35246803677
1524,124785.66467208239
1525,125007.69132710669
1526,113600.52023771845
1527,106457.09344289226
1528,134743.2477878991
1529,151085.2257307034
1530,173170.38281119347
1531,97303.53823159369
1532,101140.40613316378
1533,146888.6296280156
1534,120869.57824073266
1535,152768.0837489556
1536,109431.43700728694
1537,62048.655391838925
1538,149425.53532631166
1539,196308.61336645915
1540,92882.1864204764
1541,138534.93274614797
1542,140224.377571028
1543,201610.51507081417
1544,82918.51655155994
1545,109728.22423203243
1546,130696.26354572213
1547,134078.31603629564
1548,135501.15853907907
1549,112846.75482577406
1550,136384.30968448348
1551,110973.6713422178
1552,136938.73827004593
1553,148561.42039179124
1554,117393.26131766493
1555,168996.65444651557
1556,85601.98806661373
1557,108704.33772633149
